          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   1969.260    3562.040      308.8471906       60.1210658      27.766       0.275      25.080       0.029      23.102       0.019 
   1989.190    4684.950      308.8394094       60.1093355      25.147       0.042      23.122       0.014      21.629       0.010 
   3628.930    4088.360      308.8779272       60.1095826      23.011       0.013      22.646       0.007      22.325       0.010 
   1180.680    1604.540      308.8450472       60.1442464      23.201       0.017      22.859       0.013      22.515       0.021 
   3548.660    2793.120      308.8857253       60.1233184      23.300       0.018      22.941       0.009      22.602       0.012 
   4582.380    3245.670      308.9039520       60.1148668      25.405       0.067      23.209       0.009      21.623       0.007 
   1374.590    4608.960      308.8271575       60.1123508      25.648       0.049      23.219       0.011      21.346       0.008 
   3827.250    3221.290      308.8883985       60.1178627      25.591       0.070      23.215       0.009      21.613       0.007 
   4494.200    4451.140      308.8932969       60.1026756      25.611       0.068      23.161       0.011      21.453       0.008 
   4869.570    3476.400      308.9082456       60.1114286      23.197       0.017      22.769       0.008      22.369       0.010 
   1276.610     780.060      308.8530739       60.1524581      25.376       0.046      23.163       0.010      21.509       0.008 
   2437.400    3849.900      308.8548445       60.1163803      23.254       0.013      22.941       0.007      22.665       0.012 
   1763.420    1741.740      308.8561975       60.1407095      23.410       0.016      22.993       0.009      22.623       0.012 
   3704.140    1161.120      308.9009102       60.1396926      24.130       0.023      23.260       0.013      22.536       0.015 
   1391.470    1501.350      308.8501975       60.1445536      25.389       0.108      24.631       0.049      23.049       0.028 
   1096.470    1903.420      308.8411074       60.1414485      23.542       0.015      23.046       0.009      22.628       0.012 
   2821.730     793.000      308.8852064       60.1467181      24.471       0.068      23.742       0.045      23.062       0.048 
   4560.810    3110.710      308.9044904       60.1163459      23.228       0.017      22.815       0.008      22.441       0.011 
   2078.480    1839.980      308.8620491       60.1385472      24.329       0.034      23.438       0.009      22.697       0.012 
   2323.130    3384.230      308.8558644       60.1216289      25.884       0.081      24.171       0.021      23.170       0.020 
   2627.040     858.850      308.8806644       60.1467414      25.290       0.070      24.449       0.049      23.508       0.050 
   1103.490    1273.210      308.8458582       60.1479659      23.882       0.024      23.333       0.018      22.684       0.016 
   3519.170    2839.270      308.8847732       60.1229464      23.165       0.018      22.952       0.008      22.804       0.014 
   2300.050    3852.450      308.8519637       60.1168518      23.203       0.016      23.014       0.007      22.788       0.014 
   1154.070    1419.480      308.8458443       60.1462641      27.726       0.263      24.969       0.033      23.594       0.031 
   4485.600    3404.360      308.9007747       60.1135714      26.980       0.171      23.591       0.017      21.878       0.009 
   1335.020    1944.010      308.8457858       60.1401627      23.158       0.021      22.987       0.018      22.785       0.018 
   2734.910    2900.080      308.8679843       60.1251614      23.947       0.026      23.315       0.010      22.845       0.021 
   3489.400    2658.360      308.8854761       60.1249323      23.282       0.020      23.010       0.008      22.851       0.017 
   3762.190    1417.760      308.9002411       60.1368181      27.659       0.271      24.615       0.021      22.901       0.014 
