          X           Y               RA              DEC         m_B       err_B         m_V       err_V         m_R       err_R 
   4244.700    4705.580      308.8862409       60.1009407      25.425       0.030      23.440       0.006      21.840       0.004 
   2465.520    2403.980      308.8659954       60.1312885      28.034       0.270      25.665       0.017      23.902       0.010 
   1141.620    1285.340      308.8465648       60.1477018      23.013       0.013      22.423       0.006      21.884       0.008 
   2007.520    1416.010      308.8636692       60.1432057      28.495       0.265      26.001       0.018      24.092       0.009 
   3797.750    1414.010      308.9010098       60.1367278      27.181       0.099      24.977       0.012      23.373       0.010 
   4232.550    2037.280      308.9055086       60.1286793      27.722       0.161      25.566       0.038      23.962       0.040 
   3502.860    1665.560      308.8930210       60.1351881      27.008       0.090      25.075       0.012      23.562       0.010 
   1100.400    2257.730      308.8386016       60.1377558      28.198       0.219      25.900       0.019      24.140       0.010 
   1900.070    2636.190      308.8525106       60.1309284      23.210       0.014      22.621       0.005      22.093       0.006 
   2580.770     818.290      308.8799963       60.1473303      26.794       0.081      24.793       0.011      23.287       0.009 
   4278.370    3136.630      308.8984166       60.1171030      24.913       0.039      23.166       0.006      21.833       0.007 
   2086.700    2035.850      308.8607887       60.1364840      27.494       0.184      25.547       0.016      24.019       0.011 
   2240.860    1669.170      308.8666838       60.1397313      24.523       0.051      23.723       0.014      22.965       0.011 
   2095.920    1861.860      308.8622528       60.1382568      22.997       0.014      22.506       0.006      22.040       0.006 
   2480.250    3421.280      308.8588682       60.1206745      27.351       0.132      25.334       0.019      23.791       0.012 
   4711.660    4378.310      308.8983581       60.1026417      24.338       0.020      22.779       0.005      21.581       0.005 
   1161.460    1707.650      308.8438930       60.1432455      25.163       0.055      23.826       0.010      22.788       0.010 
   2251.850    2055.790      308.8640863       60.1356780      28.219       0.196      25.655       0.014      23.820       0.011 
   2192.450    2561.230      308.8591536       60.1306465      25.085       0.043      23.760       0.008      22.729       0.009 
   1433.550    2893.510      308.8409053       60.1299479      27.783       0.173      25.851       0.022      24.284       0.012 
   1054.690    1801.880      308.8409778       60.1426541      27.597       0.173      25.522       0.016      23.934       0.010 
   4923.520    3568.680      308.9086939       60.1102748      25.255       0.033      23.418       0.006      22.002       0.004 
   2607.480     751.620      308.8810412       60.1479254      27.922       0.174      25.745       0.019      24.048       0.012 
   4130.890    1620.010      308.9064454       60.1333794      23.745       0.108      23.054       0.059      22.508       0.068 
   4935.770    3360.090      308.9104758       60.1123951      23.236       0.013      22.446       0.005      21.777       0.007 
   2932.350    3243.370      308.8695899       60.1208815      25.072       0.040      23.854       0.009      22.890       0.009 
   3078.920    1080.920      308.8884620       60.1427958      28.446       0.229      25.960       0.017      24.120       0.011 
   1344.780    1919.420      308.8461690       60.1403826      24.835       0.054      24.122       0.018      23.390       0.013 
   3314.920    1952.810      308.8870012       60.1328891      27.897       0.163      25.531       0.016      23.749       0.009 
   3210.420    3840.890      308.8710171       60.1136701      25.474       0.034      23.586       0.007      22.124       0.006 
   2296.180    3310.990      308.8558377       60.1224869      28.176       0.248      25.660       0.016      23.868       0.014 
   2309.400    1671.890      308.8680931       60.1394544      28.191       0.206      25.830       0.017      24.087       0.012 
   2097.290    1450.770      308.8652870       60.1425193      27.477       0.166      25.621       0.020      24.136       0.012 
   3428.070     978.380      308.8964926       60.1425921      24.976       0.053      23.965       0.032      23.129       0.037 
   1816.960    2525.640      308.8515856       60.1323774      27.641       0.171      25.328       0.013      23.673       0.014 
    980.560    2015.110      308.8378743       60.1407089      27.710       0.183      25.815       0.031      24.374       0.029 
