         id               ra              dec             flux      type           n               re              phi            ratio     notes 
       6257       53.1397540      -27.8514963        2.3148715    sersic       0.926        3.0400000       44.5000000        0.7664000   comment 
       6258       53.1635634      -27.8515426        1.0780618    sersic       0.200        1.9110000      -68.7400000        0.0567000   comment 
       6259       53.1486928      -27.8514703        0.8542289    sersic       1.118        0.7670000      -63.2390000        0.5630000   comment 
       6261       53.1299572      -27.8519466        2.2006440    sersic       0.273        3.9760000        2.3780000        0.7954000   comment 
       6262       53.0763163      -27.8520453        2.1060206    sersic       0.232        4.2580000       29.2700000        0.2044000   comment 
       6263       53.0839533      -27.8514419        0.4254376    sersic       0.696        1.4610000      -88.4150000        0.6033000   comment 
       6264       53.1225536      -27.8527296       38.0642753    sersic       1.234        3.6140000       86.8700000        0.4136000   comment 
       6266       53.1056744      -27.8514624        0.6813694    sersic       5.394       21.6160000        8.8320000        0.7276000   comment 
       6269       53.1023882      -27.8514301        0.9218254    sersic       2.210        2.9550000       30.2350000        0.5132000   comment 
       6271       53.0766562      -27.8513716        1.9183514    sersic       3.716        4.5290000      -53.3330000        0.7528000   comment 
       6272       53.1407919      -27.8513238        0.4835088    sersic       0.286        0.7660000       21.1570000        0.5174000   comment 
       6273       53.0718996      -27.8513026        0.2821552    sersic       0.202        1.5370000      -37.3980000        0.6224000   comment 
       6275       53.1004676      -27.8514706        1.7451683    sersic       0.915        1.1490000      -70.8400000        0.5816000   comment 
       6277       53.0566645      -27.8515587        4.3257317    sersic       6.864        5.6200000       25.5240000        0.7321000   comment 
       6278       53.0601149      -27.8529957       20.2455158    sersic       2.567        1.3740000       88.5710000        0.7319000   comment 
       6279       53.0965441      -27.8517418        2.8805671    sersic       0.464        2.1620000       34.7420000        0.8464000   comment 
       6280       53.1241658      -27.8512340        1.4862820    sersic       0.212        1.5320000       89.0710000        0.5816000   comment 
       6281       53.1614425      -27.8511781        1.0179346    sersic       5.423       22.0790000       42.5380000        0.1439000   comment 
       6283       53.0599293      -27.8516050        2.0835451    sersic       1.026        2.8830000      -68.8340000        0.3506000   comment 
       6284       53.1609920      -27.8515451        2.9398904    sersic       1.156        3.3270000        0.3250000        0.5009000   comment 
       6285       53.1960915      -27.8516160        4.3907720    sersic       0.870        1.4200000      -49.3900000        0.6193000   comment 
       6286       53.1258587      -27.8511489        0.5862980    sersic       0.200        1.5370000       38.1830000        0.2833000   comment 
       6287       53.1225073      -27.8512535        1.3319494    sersic       0.344        2.7050000       44.8630000        0.4027000   comment 
       6288       53.0821855      -27.8510900        0.6372281    sersic       0.200        1.2990000        2.9000000        0.9549000   comment 
       6289       53.0849163      -27.8513344        0.6045859    sersic       0.200        2.8140000       26.0510000        0.1368000   comment 
       6290       53.0886718      -27.8518744       20.3717170    sersic       1.682        1.6470000      -54.3690000        0.6879000   comment 
       6291       53.0997602      -27.8510866        0.1935861    sersic       0.200        0.8510000       57.3910000        0.2639000   comment 
       6292       53.1425193      -27.8510938        0.3983308    sersic       0.200        1.9130000        1.1790000        0.4320000   comment 
       6294       53.1243597      -27.8516265        5.6493253    sersic       5.154        6.1260000      -44.8070000        0.6510000   comment 
       6295       53.1390891      -27.8512334        0.9948952    sersic       1.435        1.8100000      -89.3530000        0.8009000   comment 
       6296       53.1446002      -27.8515474        3.3284284    sersic       2.638        1.4250000      -18.6820000        0.6860000   comment 
       6297       53.1028817      -27.8511006        0.5048321    sersic       5.464        1.8850000       49.9720000        0.3663000   comment 
       6298       53.1036257      -27.8510409        0.3616711    sersic       0.460        1.2820000       40.4720000        0.0299000   comment 
       6299       53.1119779      -27.8510552        0.1791765    sersic       0.200        2.2060000      -41.2480000        0.2940000   comment 
       6301       53.1850915      -27.8514179       14.6136718    sersic       8.000        2.7820000      -52.3720000        0.3990000   comment 
       6303       53.0949181      -27.8509764        0.5912552    sersic       1.559        0.8600000      -46.4620000        0.0419000   comment 
       6305       53.1721823      -27.8509594        0.5759790    sersic       2.757        0.8710000       47.4740000        0.0585000   comment 
       6306       53.0663721      -27.8509455        0.2545169    sersic       8.000        7.0470000      -31.7250000        0.3442000   comment 
       6307       53.1508686      -27.8513827        1.8442814    sersic       1.140        2.5550000      -20.7570000        0.2882000   comment 
       6308       53.1091671      -27.8529173       96.2026234    sersic       1.614       10.2090000      -88.6200000        0.3393000   comment 
       6309       53.1883529      -27.8510814        7.5874643    sersic       0.772        1.1280000        4.6700000        0.6511000   comment 
       6313       53.0851910      -27.8508672        0.2792865    sersic       5.251       28.2010000       -5.4580000        0.2045000   comment 
       6314       53.1204845      -27.8516400        8.0435304    sersic       0.627        4.0740000      -84.0320000        0.8181000   comment 
       6315       53.1325689      -27.8529141      180.2161308    sersic       0.200        2.5030000      -54.9120000        0.2940000   comment 
       6317       53.1379763      -27.8509554        1.6541439    sersic       0.200        9.7770000       28.7000000        0.6407000   comment 
       6318       53.0680693      -27.8508017        0.7719883    sersic       1.058        1.0320000        3.4640000        0.5962000   comment 
       6319       53.1605636      -27.8508137        0.1674889    sersic       8.000        0.1640000       -1.3020000        0.0002000   comment 
       6320       53.1017422      -27.8509732        0.9882671     point       8.000        0.2670000      -81.4120000        0.6499000   comment 
       6321       53.0846325      -27.8510443        1.3045415    sersic       3.012        2.0170000       -9.0830000        0.2700000   comment 
       6322       53.1602181      -27.8509935        1.2247527    sersic       7.463        1.5040000        0.0700000        0.3453000   comment 
       6323       53.1396114      -27.8513928        5.6830272    sersic       1.608        1.0900000      -68.4600000        0.5424000   comment 
       6324       53.1469854      -27.8507678        0.7288985    sersic       1.913        0.7480000       48.0280000        0.1399000   comment 
       6325       53.0588273      -27.8507568        0.7353614    sersic       1.031        0.3160000      -26.2950000        0.6667000   comment 
       6326       53.1652519      -27.8511259        3.9067842    sersic       0.386        1.8920000      -11.6580000        0.9559000   comment 
       6327       53.1782778      -27.8507218        0.7822375    sersic       3.717        1.9240000      -29.2730000        0.2951000   comment 
       6328       53.0806666      -27.8507570        0.4967304    sersic       1.037        1.2700000       14.6660000        0.4846000   comment 
       6329       53.1235159      -27.8506727        0.5725645    sersic       2.569        1.5360000       58.3930000        0.4705000   comment 
       6332       53.1224813      -27.8510574        2.4192013    sersic       2.568        1.7790000       67.8850000        0.8804000   comment 
       6333       53.0628282      -27.8512860        2.5044869    sersic       8.000        1.9170000       53.4190000        0.8421000   comment 
       6334       53.1103995      -27.8506250        0.7367245    sersic       1.225        1.4080000       33.1700000        0.7061000   comment 
       6336       53.1636681      -27.8513335        3.9845135    sersic       7.238        9.3900000      -64.5340000        0.2644000   comment 
       6342       53.0955295      -27.8512778       18.5523619    sersic       0.605        3.2780000       82.7750000        0.5950000   comment 
       6345       53.0833370      -27.8505579        0.5468566    sersic       0.478        1.0150000       80.6960000        0.9925000   comment 
       6346       53.1466090      -27.8509500        3.8114200    sersic       0.712        1.8070000       68.4140000        0.5374000   comment 
       6347       53.1669851      -27.8505375        0.3858430    sersic       0.451        3.9970000      -85.4330000        0.3338000   comment 
       6351       53.1601122      -27.8506566        0.5291663    sersic       1.841        2.4380000       69.5580000        0.0452000   comment 
       6352       53.0803392      -27.8505757        1.7951922    sersic       0.727        0.7920000       78.9240000        0.6086000   comment 
       6354       53.0903434      -27.8509006        2.5452251    sersic       1.922        1.4060000       14.1780000        0.8503000   comment 
       6355       53.1339596      -27.8507240        4.6062791    sersic       0.796        3.8140000      -78.7010000        0.1846000   comment 
       6356       53.1936782      -27.8504891        0.7365590    sersic       0.200        0.2200000      -67.7100000        0.0388000   comment 
       6358       53.1080053      -27.8505091        0.6481910    sersic       2.466        1.0280000       26.1010000        0.4383000   comment 
       6359       53.1493990      -27.8512973        3.4800293    sersic       0.645        4.3530000       -3.2030000        0.3103000   comment 
       6361       53.1107492      -27.8504290        0.4391910    sersic       0.687        0.5300000       -5.8980000        0.4031000   comment 
       6364       53.0785415      -27.8503590        0.6283350    sersic       8.000        0.3650000      -36.3560000        0.3290000   comment 
