x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
533.17,3698.14,27.608,0.177,27.4903349587,9.05e-12,0.054,0.264,6.1,-0.016
1224.41,2264.79,25.289,0.021,25.0618153439,7.66e-11,0.004,-0.108,50.8,-0.005
2652.83,3519.97,26.743,0.084,26.7312667309,2.01e-11,0.015,0.503,12.9,-0.014
2659.37,3951.16,27.554,0.155,27.5555703685,9.51e-12,0.023,-0.102,7.0,-0.059
3121.12,1452.87,23.096,0.01,27.3276404281,5.78e-10,0.001,0.05,108.3,-0.021
3704.3,825.44,27.702,0.157,27.5096453368,8.3e-12,0.047,-0.181,6.9,0.048
1907.52,910.35,27.933,0.193,27.6150771754,6.71e-12,0.018,1.954,5.6,0.104
3386.22,1978.98,27.929,0.234,27.5671754109,6.74e-12,0.015,-0.43,4.6,0.072
779.17,2453.67,27.551,0.15,27.5620912602,9.54e-12,0.007,-0.737,7.2,-0.008
1840.14,3900.82,16.108,0.0,24.7582640882,3.6e-07,0.159,0.06,3662.7,4.041
721.93,2399.05,22.74,0.025,99.99,8.02e-10,0.052,0.093,43.0,2.694
246.34,3196.95,26.926,0.218,27.499629721,1.7e-11,0.007,-0.456,5.0,-0.029
597.02,3852.8,27.477,0.156,27.4756879758,1.02e-11,0.022,1.087,6.9,-0.038
3238.1,3089.4,27.577,0.159,27.5373487341,9.32e-12,0.007,-0.152,6.8,-0.09
2828.43,1889.09,25.645,0.03,25.3947959451,5.52e-11,0.002,-0.082,36.3,-0.01
2439.12,3024.05,28.018,0.268,27.6444898166,6.21e-12,0.194,-0.579,4.1,0.051
2392.82,3461.37,27.507,0.148,27.4389609661,9.94e-12,0.092,0.233,7.3,-0.012
2218.91,435.47,27.678,0.174,27.5444763936,8.49e-12,0.025,2.039,6.2,0.064
1280.81,3015.52,24.798,0.015,25.4254338188,1.2e-10,0.0,0.007,72.7,0.001
3658.68,2837.98,26.539,0.066,26.2193623446,2.42e-11,0.009,0.108,16.4,0.022
2310.88,1750.92,26.424,0.064,26.096232819,2.69e-11,0.03,0.695,17.0,-0.013
1572.74,2128.95,25.743,0.034,26.5589424062,5.04e-11,0.005,0.291,31.9,0.004
2425.29,2094.5,28.101,0.222,28.0898866164,5.75e-12,0.032,3.292,4.9,0.052
2995.01,3024.86,27.715,0.2,27.6359189575,8.21e-12,0.013,1.946,5.4,0.092
2177.86,1416.38,27.899,0.215,27.6966017729,6.92e-12,0.003,-0.501,5.1,0.038
1218.26,3168.29,26.394,0.054,26.0859213121,2.77e-11,0.003,0.202,20.0,-0.006
505.33,761.19,25.901,0.036,26.5888193719,4.36e-11,0.019,0.44,29.9,0.001
1732.55,2494.35,27.879,0.185,27.6826874948,7.05e-12,0.003,1.667,5.9,0.026
3471.1,2092.0,25.089,0.021,24.8304619211,9.21e-11,0.002,0.079,52.6,-0.002
1361.76,561.12,27.6,0.175,27.6446907112,9.12e-12,0.006,0.063,6.2,0.026
341.03,196.41,27.94,0.225,27.9805561893,6.67e-12,0.054,0.348,4.8,0.013
2753.77,1376.57,26.072,0.041,25.7787131804,3.73e-11,0.006,0.229,26.7,0.02
188.72,3243.05,28.247,0.312,27.771429908,5.03e-12,0.04,0.783,3.5,0.026
57.68,2799.06,28.018,0.249,99.99,6.2e-12,0.073,1.72,4.4,-0.122
1849.91,2703.55,25.557,0.028,25.2893384013,5.99e-11,0.001,0.035,39.3,-0.012
1563.84,3409.94,26.756,0.226,27.5568421797,1.98e-11,0.037,0.519,4.8,-0.039
108.38,3962.87,27.623,0.161,27.5287813972,8.93e-12,0.008,1.156,6.7,0.002
3909.46,100.12,27.84,0.2,27.5006833913,7.31e-12,0.021,1.146,5.4,0.076
1641.4,2376.29,27.927,0.199,27.632035663,6.75e-12,0.006,0.08,5.4,-0.003
2870.05,1832.29,27.902,0.225,27.673085699,6.91e-12,0.007,0.226,4.8,-0.035
2057.54,2539.22,27.915,0.205,27.5670498733,6.82e-12,0.028,0.907,5.3,0.057
2539.74,3491.36,27.1,0.099,26.8672704364,1.44e-11,0.001,0.517,11.0,-0.016
2119.8,2579.19,26.6,0.071,27.0918489965,2.29e-11,0.012,1.547,15.3,0.018
1513.21,1996.94,26.592,0.186,27.6812199556,2.31e-11,0.098,0.041,5.8,-0.153
2021.42,3289.71,28.407,0.299,28.2239471437,4.34e-12,0.643,0.183,3.6,0.027
1304.8,1090.88,25.661,0.032,23.7763623035,5.44e-11,0.033,-0.103,33.8,-0.003
3499.14,2985.97,26.486,0.184,27.6638506218,2.54e-11,0.06,0.189,5.9,-0.061
305.08,512.87,27.94,0.242,28.0364642319,6.67e-12,0.077,1.351,4.5,0.087
487.35,734.34,27.703,0.162,27.6361006169,8.29e-12,0.005,0.234,6.7,-0.024
3022.54,2112.66,27.739,0.159,27.4956765888,8.02e-12,0.003,2.192,6.8,0.003
1819.78,3769.56,28.344,0.299,27.6747000374,4.59e-12,0.033,0.089,3.6,0.015
2108.18,2458.85,27.894,0.221,27.6097473066,6.96e-12,0.036,0.091,4.9,0.013
365.21,1944.98,25.027,0.203,99.99,9.75e-11,0.108,0.404,5.3,2.735
654.15,3713.29,26.087,0.044,21.3703401607,3.67e-11,0.002,0.339,24.7,-0.021
3699.37,3626.83,27.843,0.193,28.3378968048,7.29e-12,0.005,0.558,5.6,-0.011
202.14,2072.13,27.351,0.143,99.99,1.15e-11,0.066,0.086,7.6,-0.194
3644.35,1383.34,28.157,0.243,29.3342486853,5.46e-12,0.037,0.032,4.5,-0.134
1967.46,1924.74,27.946,0.196,27.5258125277,6.63e-12,0.035,-0.077,5.5,-0.003
3002.3,4060.8,28.037,0.229,99.99,6.1e-12,0.009,0.752,4.7,-0.0
2854.01,3250.94,27.88,0.239,27.5596748791,7.05e-12,0.049,1.151,4.5,0.038
1268.97,1820.44,25.391,0.024,26.7866017811,6.98e-11,0.053,0.194,44.4,-0.007
2822.9,1543.29,27.954,0.235,27.942426761,6.58e-12,0.016,2.818,4.6,0.033
2101.41,3261.1,24.833,0.016,24.6212436821,1.17e-10,0.001,0.093,68.7,-0.001
1459.75,3126.27,26.595,0.066,26.4193589605,2.3e-11,0.018,0.031,16.4,0.009
3951.87,2643.16,28.19,0.309,99.99,5.29e-12,0.06,0.017,3.5,0.029
600.24,1068.27,27.186,0.11,26.9495900904,1.34e-11,0.016,1.288,9.8,0.061
2409.45,2315.57,27.765,0.16,27.5218142972,7.83e-12,0.011,-0.82,6.8,0.003
53.69,3197.02,27.766,0.2,27.3481832522,7.83e-12,0.039,1.478,5.4,0.121
