x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
2751.77,1734.78,26.402,0.203,26.5069384658,2.75e-11,0.056,0.777,5.3,0.176
1717.1,3428.47,26.649,0.25,26.9288655506,2.19e-11,0.158,0.195,4.3,-0.096
400.62,181.75,26.583,0.236,99.99,2.33e-11,0.009,-0.425,4.6,0.137
2224.37,3882.77,25.988,0.139,25.9020801992,4.02e-11,0.08,1.212,7.8,0.004
3672.12,3745.06,26.883,0.316,26.9400260676,1.76e-11,0.121,3.076,3.4,0.25
2850.15,748.21,26.757,0.28,99.99,1.98e-11,0.078,-0.056,3.9,0.01
2823.22,3644.78,25.928,0.133,26.757352685,4.25e-11,0.017,0.24,8.2,0.095
901.62,3883.73,24.598,0.041,26.5863944685,1.45e-10,0.017,0.181,26.4,-0.014
3669.98,1372.22,24.886,0.053,24.7990468128,1.11e-10,0.006,0.158,20.4,0.059
2824.36,1337.46,26.501,0.217,26.9099975876,2.51e-11,0.01,0.344,5.0,-0.16
2098.3,3017.42,26.443,0.207,26.8088479693,2.65e-11,0.145,0.21,5.2,0.038
2483.67,3174.29,25.182,0.067,24.9962880431,8.46e-11,0.043,0.217,16.1,0.007
444.37,3571.14,26.83,0.298,99.99,1.85e-11,0.123,0.162,3.6,0.106
686.81,2757.94,25.919,0.275,26.8409347088,4.29e-11,0.124,1.865,4.0,0.003
2364.28,3754.74,25.801,0.117,25.9183969823,4.78e-11,0.081,0.255,9.3,0.008
3622.66,787.23,26.843,0.3,99.99,1.83e-11,0.119,0.573,3.6,0.153
995.58,3590.71,26.674,0.256,26.9790450828,2.14e-11,0.159,1.798,4.2,0.132
4011.33,205.98,26.642,0.251,26.6477502243,2.2e-11,0.088,0.208,4.3,-0.098
1501.83,2387.71,26.781,0.284,99.99,1.94e-11,0.014,0.743,3.8,0.133
2209.73,2393.58,26.378,0.195,26.4812404042,2.81e-11,0.162,0.341,5.6,0.054
879.81,2058.17,24.747,0.047,24.6537345535,1.26e-10,0.031,0.023,23.1,0.017
520.93,4029.03,26.747,0.28,99.99,2e-11,0.098,1.325,3.9,-0.027
1238.78,2950.57,27.354,0.481,26.8420930115,1.14e-11,0.648,9.995,2.3,0.993
3220.57,686.11,26.176,0.164,26.4855661539,3.39e-11,0.005,0.998,6.6,0.125
634.39,2554.0,24.494,0.038,24.6418423515,1.59e-10,0.01,0.146,28.7,-0.036
3358.8,3308.2,25.103,0.064,21.6043098401,9.1e-11,0.027,0.516,17.0,0.05
2370.77,2014.29,26.849,0.302,24.9191012622,1.82e-11,0.375,0.787,3.6,0.201
901.9,1709.89,24.82,0.05,24.8716109328,1.18e-10,0.009,-0.063,21.8,-0.008
1072.56,936.83,26.032,0.144,25.9343090033,3.87e-11,0.069,-0.006,7.5,0.036
3257.11,45.03,25.665,0.105,28.392173081,5.42e-11,0.018,0.348,10.3,0.025
3590.36,3986.7,26.954,0.329,99.99,1.65e-11,0.035,0.952,3.3,0.282
2802.79,2068.9,26.426,0.207,26.1019037367,2.69e-11,0.174,0.781,5.2,-0.017
2263.5,2157.56,26.407,0.199,26.5823909415,2.74e-11,0.025,0.066,5.5,0.034
3779.58,3736.32,26.426,0.203,26.610740699,2.69e-11,0.247,1.142,5.3,-0.06
3194.11,2594.26,26.257,0.177,26.5940663651,3.14e-11,0.078,0.071,6.1,-0.042
3270.28,1952.38,25.688,0.105,25.9407720344,5.31e-11,0.135,0.136,10.3,-0.057
3291.5,751.3,26.337,0.186,26.4244349575,2.92e-11,0.011,1.018,5.8,-0.024
2255.88,2987.76,26.53,0.227,26.6288204293,2.44e-11,0.036,0.431,4.8,-0.158
3614.5,3922.36,25.939,0.131,26.038348221,4.21e-11,0.014,0.049,8.3,-0.015
1139.72,3809.55,25.04,0.06,25.1080115112,9.64e-11,0.011,0.207,18.2,-0.028
921.5,3701.61,25.683,0.104,25.5643097327,5.33e-11,0.047,0.125,10.4,-0.043
2613.38,2727.13,26.368,0.195,26.6072618394,2.84e-11,0.087,-0.195,5.6,-0.023
1835.05,2608.5,26.669,0.256,26.9916811794,2.15e-11,0.083,0.256,4.2,0.013
2143.13,919.28,26.701,0.264,27.1825376007,2.09e-11,0.085,8.815,4.1,-0.004
3986.76,2760.99,26.892,0.317,25.7255250044,1.75e-11,0.152,1.944,3.4,0.23
2753.77,1376.57,24.86,0.051,24.7941204003,1.14e-10,0.013,-0.052,21.1,-0.006
1248.67,2221.49,26.569,0.229,26.8739486494,2.36e-11,0.044,1.338,4.7,0.096
3747.38,1536.78,26.735,0.272,26.7684652072,2.02e-11,0.199,-0.478,4.0,0.113
2448.25,3908.63,26.373,0.195,26.6737483505,2.82e-11,0.1,-0.075,5.6,0.006
3585.68,3839.47,24.325,0.033,24.2815828397,1.86e-10,0.009,0.275,33.2,0.015
3215.51,3259.17,25.558,0.094,25.7484059727,5.98e-11,0.025,0.157,11.6,-0.009
4001.98,2565.14,26.655,0.256,26.7750173729,2.18e-11,0.027,2.115,4.2,0.061
2500.47,3223.47,25.588,0.096,25.632434972,5.82e-11,0.125,0.739,11.3,-0.039
2718.51,3286.06,26.553,0.229,26.8615779917,2.39e-11,0.036,0.152,4.7,-0.158
487.03,3804.34,26.824,0.296,26.7304737524,1.86e-11,0.114,-2.18,3.7,0.089
2277.43,3592.94,25.974,0.138,25.8859453903,4.08e-11,0.148,1.039,7.9,0.065
2747.29,2582.54,25.371,0.08,25.3720797817,7.11e-11,0.105,0.428,13.6,0.033
3974.78,1984.83,26.711,0.269,27.5382939227,2.07e-11,0.034,1.349,4.0,0.136
3041.93,3781.54,26.65,0.251,26.6197359505,2.19e-11,0.041,-0.115,4.3,-0.005
418.87,3764.64,24.813,0.049,25.9353596195,1.19e-10,0.013,-0.167,22.0,-0.02
2261.06,3788.39,26.344,0.191,26.3553323895,2.9e-11,0.07,-0.246,5.7,0.028
2158.8,2756.74,25.944,0.134,26.946181737,4.19e-11,0.031,0.001,8.1,0.009
1950.41,240.09,26.581,0.237,26.658147936,2.33e-11,0.146,1.12,4.6,0.044
1793.36,3463.11,26.944,0.33,27.0885198719,1.67e-11,0.133,-0.596,3.3,0.412
2963.34,946.09,26.437,0.208,99.99,2.66e-11,0.091,-0.482,5.2,0.043
409.31,592.97,26.573,0.236,28.1264593384,2.35e-11,0.021,1.002,4.6,0.055
1330.59,3712.53,25.405,0.082,25.5430394082,6.89e-11,0.008,0.178,13.3,0.015
3708.55,2766.6,26.844,0.298,26.9389005466,1.83e-11,0.079,0.347,3.6,0.212
922.01,3034.14,24.178,0.029,24.6749576124,2.13e-10,0.001,0.084,37.3,-0.031
2453.2,1643.96,24.937,0.112,26.6899616387,1.06e-10,0.02,0.248,9.7,-0.254
872.44,3595.23,26.341,0.189,27.4098486472,2.91e-11,0.032,8.713,5.8,-0.128
