         T         c12         c13         c14 
   1154.00  12.8566183  16.9975031  19.7936808 
   1154.53  12.8500624  16.9887096  19.7833282 
   1155.06  12.8435094  16.9799201  19.7729804 
   1155.60  12.8369595  16.9711347  19.7626374 
   1156.13  12.8304126  16.9623533  19.7522992 
   1156.66  12.8238688  16.9535760  19.7419657 
   1157.19  12.8173279  16.9448027  19.7316369 
   1157.73  12.8107901  16.9360335  19.7213130 
   1158.26  12.8042552  16.9272683  19.7109937 
   1158.79  12.7977234  16.9185071  19.7006793 
   1159.33  12.7911946  16.9097499  19.6903696 
   1159.86  12.7846687  16.9009968  19.6800646 
   1160.40  12.7781459  16.8922478  19.6697644 
   1160.93  12.7716261  16.8835027  19.6594690 
   1161.47  12.7651093  16.8747617  19.6491783 
   1162.00  12.7585955  16.8660247  19.6388923 
   1162.54  12.7520847  16.8572917  19.6286111 
   1163.07  12.7455769  16.8485628  19.6183346 
   1163.61  12.7390721  16.8398379  19.6080628 
   1164.14  12.7325703  16.8311169  19.5977958 
   1164.68  12.7260714  16.8224000  19.5875335 
   1165.22  12.7195756  16.8136872  19.5772760 
   1165.75  12.7130828  16.8049783  19.5670231 
   1166.29  12.7065929  16.7962734  19.5567750 
   1166.83  12.7001061  16.7875726  19.5465317 
   1167.37  12.6936222  16.7788757  19.5362930 
   1167.90  12.6871413  16.7701829  19.5260591 
   1168.44  12.6806634  16.7614941  19.5158299 
   1168.98  12.6741885  16.7528092  19.5056053 
   1169.52  12.6677165  16.7441284  19.4953856 
   1170.06  12.6612476  16.7354516  19.4851705 
   1170.60  12.6547816  16.7267787  19.4749601 
   1171.13  12.6483186  16.7181099  19.4647544 
   1171.67  12.6418586  16.7094450  19.4545535 
   1172.21  12.6354015  16.7007842  19.4443572 
   1172.75  12.6289474  16.6921273  19.4341656 
   1173.29  12.6224963  16.6834744  19.4239788 
   1173.83  12.6160482  16.6748255  19.4137966 
   1174.38  12.6096030  16.6661806  19.4036191 
   1174.92  12.6031608  16.6575396  19.3934463 
   1175.46  12.5967216  16.6489027  19.3832782 
   1176.00  12.5902853  16.6402697  19.3731148 
   1176.54  12.5838520  16.6316407  19.3629561 
   1177.08  12.5774216  16.6230156  19.3528021 
   1177.63  12.5709943  16.6143946  19.3426527 
   1178.17  12.5645698  16.6057775  19.3325080 
   1178.71  12.5581484  16.5971643  19.3223680 
   1179.25  12.5517299  16.5885552  19.3122327 
   1179.80  12.5453143  16.5799500  19.3021020 
   1180.34  12.5389017  16.5713488  19.2919760 
   1180.88  12.5324921  16.5627515  19.2818547 
   1181.43  12.5260854  16.5541582  19.2717380 
   1181.97  12.5196816  16.5455688  19.2616260 
   1182.52  12.5132808  16.5369834  19.2515187 
   1183.06  12.5068830  16.5284020  19.2414160 
   1183.61  12.5004881  16.5198245  19.2313180 
   1184.15  12.4940961  16.5112509  19.2212246 
   1184.70  12.4877071  16.5026814  19.2111359 
   1185.24  12.4813210  16.4941157  19.2010519 
   1185.79  12.4749379  16.4855540  19.1909724 
   1186.34  12.4685577  16.4769962  19.1808977 
   1186.88  12.4621804  16.4684424  19.1708275 
   1187.43  12.4558061  16.4598925  19.1607621 
   1187.98  12.4494347  16.4513466  19.1507012 
   1188.52  12.4430663  16.4428046  19.1406450 
   1189.07  12.4367008  16.4342665  19.1305935 
   1189.62  12.4303382  16.4257324  19.1205465 
   1190.17  12.4239785  16.4172022  19.1105042 
   1190.71  12.4176218  16.4086759  19.1004665 
   1191.26  12.4112680  16.4001535  19.0904335 
   1191.81  12.4049171  16.3916351  19.0804051 
   1192.36  12.3985692  16.3831206  19.0703813 
   1192.91  12.3922241  16.3746100  19.0603621 
   1193.46  12.3858820  16.3661033  19.0503475 
   1194.01  12.3795428  16.3576006  19.0403376 
   1194.56  12.3732066  16.3491017  19.0303323 
   1195.11  12.3668732  16.3406068  19.0203315 
   1195.66  12.3605428  16.3321158  19.0103354 
   1196.21  12.3542153  16.3236287  19.0003439 
   1196.76  12.3478906  16.3151455  18.9903570 
   1197.31  12.3415690  16.3066662  18.9803748 
   1197.86  12.3352502  16.2981908  18.9703971 
   1198.42  12.3289343  16.2897194  18.9604240 
   1198.97  12.3226213  16.2812518  18.9504555 
   1199.52  12.3163113  16.2727881  18.9404916 
   1200.07  12.3100041  16.2643283  18.9305323 
   1200.63  12.3036999  16.2558724  18.9205776 
   1201.18  12.2973985  16.2474204  18.9106275 
