x,y,mag,err,inputmag,Count,Crowding,Roundness,SNR,Sharpness
1890.34,1951.44,26.671,0.063,24.2383695401,2.15e-11,0.001,-0.07,17.2,-0.046
1880.75,938.88,28.093,0.266,28.378589774,5.79e-12,0.026,-1.111,4.1,-0.012
2146.3,2689.1,27.925,0.224,27.9536034367,6.76e-12,0.033,1.947,4.8,-0.012
3521.96,97.04,24.841,0.171,99.99,1.16e-10,0.252,-0.061,6.3,0.512
3393.76,927.02,27.652,0.186,27.552730371,8.7e-12,0.003,0.758,5.8,0.032
4024.25,2745.59,26.282,0.047,26.887958405,3.07e-11,0.002,-0.108,23.2,-0.013
1996.5,1073.66,27.645,0.145,27.5765142742,8.75e-12,0.1,4.32,7.5,0.061
2213.62,3091.32,27.894,0.194,27.8712995746,6.96e-12,0.028,0.181,5.6,0.08
93.69,3113.99,27.98,0.241,27.745632712,6.43e-12,0.049,7.863,4.5,-0.044
517.04,978.62,26.686,0.171,27.3789850711,2.12e-11,0.062,0.446,6.3,-0.056
554.78,1064.13,27.501,0.161,29.1780437955,9.99e-12,0.053,0.853,6.7,0.087
1018.59,3919.53,26.015,0.036,25.8028852634,3.93e-11,0.001,0.668,30.3,0.0
2255.46,1365.93,27.892,0.208,27.6214808585,6.97e-12,0.013,1.588,5.2,0.049
2722.5,1051.0,27.552,0.155,27.5639413098,9.53e-12,0.001,-0.365,7.0,0.052
1261.74,1665.28,28.034,0.237,27.7094581796,6.11e-12,0.088,2.111,4.6,0.066
628.25,3347.86,25.833,0.035,26.3683370804,4.64e-11,0.015,0.262,30.9,0.002
2974.96,606.34,26.387,0.058,99.99,2.79e-11,0.003,0.034,18.8,-0.005
3945.68,2989.41,26.624,0.063,26.2923275009,2.24e-11,0.024,1.854,17.3,0.011
1303.51,3896.1,26.7,0.073,26.379654043,2.09e-11,0.004,0.215,15.0,0.009
3767.63,1609.8,27.433,0.134,27.7716974999,1.06e-11,0.1,0.906,8.1,-0.02
3938.92,1442.12,27.619,0.189,27.6482349055,8.97e-12,0.004,0.474,5.8,-0.072
1814.93,3278.06,26.357,0.062,26.5141984808,2.87e-11,0.028,0.198,17.6,-0.004
3026.7,1843.94,26.275,0.053,25.4347572274,3.09e-11,0.001,0.459,20.7,0.024
2955.17,1754.59,27.726,0.173,27.3472895731,8.12e-12,0.036,-0.064,6.3,-0.06
1445.11,755.14,27.85,0.227,27.7398047144,7.25e-12,0.026,1.142,4.8,0.056
2136.51,3567.98,25.932,0.038,25.5947181854,4.24e-11,0.006,0.817,28.8,0.014
3835.51,3808.5,28.142,0.218,27.5761535744,5.54e-12,0.034,0.276,5.0,-0.046
140.3,3861.28,28.095,0.239,27.7161083618,5.78e-12,0.009,-0.012,4.5,-0.031
1793.34,2605.44,27.912,0.187,27.5949030641,6.84e-12,0.027,0.219,5.8,0.011
1415.19,110.21,26.503,0.064,26.2082744193,2.5e-11,0.012,0.104,16.9,-0.006
1657.68,1560.64,27.772,0.171,27.5635894645,7.78e-12,0.004,1.354,6.3,-0.014
1950.78,2896.8,27.515,0.155,27.4587901504,9.86e-12,0.032,0.944,7.0,-0.014
1892.12,1141.67,28.131,0.258,28.3380552519,5.59e-12,0.009,1.519,4.2,0.059
4084.96,1860.03,23.382,0.045,26.6069674819,4.44e-10,0.13,0.04,24.4,-0.507
1227.09,3046.98,26.594,0.075,26.4856835022,2.3e-11,0.029,0.473,14.6,-0.01
3202.47,1110.89,27.72,0.175,27.5152354201,8.17e-12,0.015,3.311,6.2,-0.041
2058.05,2528.18,26.28,0.145,27.3521963865,3.08e-11,0.017,1.484,7.5,0.038
84.98,3086.71,27.194,0.116,26.8872185297,1.33e-11,0.038,0.241,9.3,-0.031
2089.95,537.1,27.956,0.259,99.99,6.57e-12,0.039,-0.297,4.2,-0.043
120.63,2931.08,26.057,0.043,27.7868946057,3.78e-11,0.002,0.848,25.2,0.016
2273.46,3040.44,27.818,0.168,27.5019299514,7.46e-12,0.024,0.345,6.4,-0.025
1528.99,2270.88,27.796,0.217,27.8082879341,7.61e-12,0.006,-0.212,5.0,0.051
3150.38,3160.94,27.338,0.129,27.0511776445,1.16e-11,0.007,0.818,8.4,0.041
906.22,2670.46,26.425,0.054,26.0191845702,2.69e-11,0.008,0.081,20.2,-0.023
1424.69,1958.26,26.729,0.073,27.8036834722,2.03e-11,0.028,0.238,15.0,-0.008
1230.21,3028.69,28.093,0.239,28.188596246,5.79e-12,0.01,2.375,4.5,0.126
3417.81,4051.22,28.102,0.27,25.0975630872,5.75e-12,0.002,1.1,4.0,0.229
3818.58,839.14,27.736,0.184,27.550479236,8.05e-12,0.021,1.205,5.9,0.148
2979.66,2689.85,27.97,0.225,27.5933750136,6.48e-12,0.005,3.182,4.8,0.093
1170.22,3713.09,28.149,0.287,27.5799360987,5.5e-12,0.032,0.893,3.8,0.157
1691.25,3206.78,26.39,0.054,26.0656001159,2.78e-11,0.01,1.214,20.0,0.023
