         id               ra              dec      mag      type         n               re              phi            ratio     notes 
       6415       53.0688818      -27.8505186  22.1425     point     0.990            0.166          -48.973           0.2136   comment 
       6416       53.0660351      -27.8498380  26.8114    sersic     1.140            3.473           81.896           0.7186   comment 
       6418       53.0677128      -27.8500455   24.963    sersic     0.677            2.349          -55.027           0.2391   comment 
       6420       53.1148252      -27.8498928  25.0566    sersic     1.842            4.006          -51.078           0.5277   comment 
       6421       53.0696522      -27.8497892  26.7913    sersic     2.660            1.910           73.266           0.3488   comment 
       6422       53.0619006      -27.8510455  22.3099    sersic     6.926            3.451           66.715           0.7366   comment 
       6423       53.0707710      -27.8506713  22.6753    sersic     0.607            2.392           -6.232           0.3170   comment 
       6429       53.0934763      -27.8499785  24.4056    sersic     2.695            1.662           82.699           0.5102   comment 
       6430       53.0934546      -27.8497733  25.7589    sersic     6.465            1.844           -2.279           0.1518   comment 
       6431       53.0610926      -27.8512096  21.3844    sersic     3.875            1.449          -84.475           0.2891   comment 
       6432       53.1284174      -27.8504141  23.7477    sersic     1.432            3.620           -7.016           0.5858   comment 
       6433       53.1576359      -27.8499125  24.6811    sersic     1.000            2.395           68.353           0.4526   comment 
       6434       53.1851531      -27.8507192  21.9311    sersic     2.360           17.811           63.242           0.5969   comment 
       6438       53.0880865      -27.8506429  21.6099    sersic     1.426            5.984          -81.609           0.3015   comment 
       6439       53.1142354      -27.8502816  24.0301    sersic     1.861            3.318           -1.024           0.4684   comment 
       6440       53.1313075      -27.8496309  26.9198    sersic     1.003            1.236           81.540           0.6118   comment 
       6441       53.1151390      -27.8499088  24.4656     point     4.877            0.560          -38.624           0.3456   comment 
       6443       53.1775041      -27.8496157  25.4963    sersic     0.594            0.689          -26.815           0.4510   comment 
       6444       53.1597370      -27.8502399   23.624    sersic     0.635            5.552           60.326           0.2429   comment 
       6445       53.1040779      -27.8495690  26.3454    sersic     2.933            6.394          -39.701           0.4891   comment 
       6446       53.0577031      -27.8495628   26.058    sersic     2.558            1.286           27.963           0.7101   comment 
       6447       53.0818260      -27.8495378  27.2074    sersic     1.876            1.540           47.045           0.0500   comment 
       6449       53.1380968      -27.8495405  26.5591    sersic     0.964            1.346          -68.757           0.6437   comment 
       6451       53.0869871      -27.8495328   26.727    sersic     1.817            2.203           -8.844           0.4776   comment 
       6452       53.1502881      -27.8495130  26.1975    sersic     2.175            1.169          -68.055           0.4671   comment 
       6453       53.0979295      -27.8494963  27.1275    sersic     1.545            0.773           71.386           0.0402   comment 
       6454       53.1279981      -27.8495034  26.6753    sersic     2.250            0.344           -5.403           0.8499   comment 
       6455       53.1660933      -27.8497808  24.3294    sersic     1.667            0.794          -77.686           0.9615   comment 
       6456       53.1645291      -27.8496971  24.8022    sersic     1.602            1.210           26.808           0.6587   comment 
       6457       53.1448633      -27.8496427  25.0693    sersic     0.741            1.660           58.001           0.4487   comment 
       6459       53.1100430      -27.8497433  24.6341    sersic     0.819            2.065           40.578           0.3845   comment 
       6460       53.1063638      -27.8494835  25.4162    sersic     4.559            0.690          -89.638           0.5130   comment 
